name,total_shipped,genres,themes,game_engines,age_ratings
fallout 3,4.96,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'survival', 'sandbox', 'open world']",gamebryo,m
crash bandicoot n. sane trilogy,4.83,"['platform', 'adventure']","['action', 'fantasy', 'science fiction', 'historical']",vicarious visions alchemy,e10
the simpsons: hit & run,4.7,"['platform', 'racing', 'adventure']","['action', 'comedy']",pure3d,t
tony hawk's pro skater 2,4.68,"['simulator', 'sport']","['action', 'sandbox']",unreal engine,t
monster hunter: world,4.0,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",mt framework,t
tomb raider,4.63,"['shooter', 'platform', 'puzzle', 'adventure']","['action', 'survival', 'sandbox']",core design,t
overwatch,4.54,"['shooter', 'strategy']","['action', 'science fiction', 'comedy']",proprietary engine,t
the elder scrolls iv: oblivion,4.47,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'historical', 'sandbox', 'open world']",gamebryo,m
tom clancy's the division,4.37,"['shooter', 'role-playing (rpg)', 'strategy', 'tactical', 'adventure']","['action', 'science fiction', 'survival', 'sandbox', 'warfare']",snowdrop,m
need for speed: most wanted,4.37,"['racing', 'adventure']","['action', 'open world']",chameleon,e10
resistance: fall of man,2.12,"['shooter', 'adventure']","['action', 'fantasy', 'science fiction', 'horror', 'historical', 'warfare']",insomniac engine,m
sonic the hedgehog,15.0,"['platform', 'adventure']","['action', 'science fiction', 'educational']",havok physics,e10
watch dogs,4.32,"['shooter', 'adventure']","['action', 'science fiction', 'stealth', 'sandbox', 'open world']",disrupt,m
batman: arkham asylum,4.28,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'stealth']",unreal engine,t
gran turismo 5 prologue,5.35,"['racing', 'simulator']",['non-fiction'],custom built engine,e
street fighter iv,4.19,['fighting'],['action'],taito type x,t
teenage mutant ninja turtles,4.17,"[""hack and slash/beat 'em up""]",['action'],renderware,e
destiny 2,4.14,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'fantasy', 'science fiction', 'open world', 'warfare']",tiger,t
half-life,9.3,"['shooter', 'puzzle', 'adventure']","['action', 'science fiction', 'horror', 'thriller', 'warfare']",goldsrc,m
the sims 4,4.1,"['role-playing (rpg)', 'simulator']","['action', 'fantasy', 'comedy', 'sandbox', 'romance']",smartsim,t
fallout: new vegas,4.08,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'survival', 'sandbox', 'open world']",gamebryo,m
god of war ii,4.24,"['platform', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'historical']",kinetica,m
assassin's creed origins,4.06,"['role-playing (rpg)', 'adventure']","['action', 'historical', 'stealth', 'open world']",anvilnext,m
far cry 4,4.06,"['shooter', 'tactical', 'adventure']","['action', 'historical', 'sandbox', 'open world', 'warfare']",dunia engine,m
left 4 dead 2,3.0,['shooter'],"['action', 'horror', 'survival']",source,m
far cry 5,3.95,"['shooter', 'adventure']","['action', 'open world']",dunia engine,m
battlefield 4,3.94,['shooter'],"['action', 'warfare']",frostbite,m
gran turismo sport,3.77,"['racing', 'simulator', 'sport']",['non-fiction'],custom built engine,e
the sims: unleashed,3.76,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
harry potter and the sorcerer's stone,8.0,"['platform', 'puzzle', 'role-playing (rpg)', 'adventure']","['action', 'fantasy']",unreal engine,e
resident evil 3: nemesis,3.5,"['shooter', 'puzzle', 'adventure']","['horror', 'survival']",re engine,m
jak and daxter: the precursor legacy,3.64,"['platform', 'adventure']","['action', 'comedy']",kinetica,e10
resident evil 4,2.3,"['shooter', 'puzzle', 'adventure']","['action', 'horror', 'mystery']",re engine,m
gears of war: ultimate edition,1.0,['shooter'],"['action', 'science fiction', 'horror']",unreal engine 3,m
star wars battlefront,3.61,['shooter'],"['action', 'science fiction']",frostbite,t
assassin's creed syndicate,3.6,['adventure'],"['action', 'fantasy', 'science fiction', 'historical', 'stealth', 'open world']",anvilnext,m
star wars battlefront ii,3.59,"['shooter', 'adventure']","['action', 'fantasy', 'science fiction']",frostbite,t
the getaway,3.54,"['shooter', 'racing']","['action', 'open world']",kinetica,m
gran turismo 6,5.22,"['racing', 'simulator', 'sport']",['non-fiction'],custom built engine,e
james bond 007: agent under fire,3.53,['shooter'],['action'],id tech 3,t
left 4 dead,3.0,['shooter'],"['action', 'horror', 'survival']",source,m
mortal kombat x,3.49,['fighting'],['action'],unreal engine,m
battlefield: bad company 2,3.48,"['shooter', 'simulator', 'strategy', 'adventure']","['action', 'warfare']",frostbite,m
borderlands,3.48,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'open world']",unreal engine,m
halo: the master chief collection,3.44,['shooter'],"['action', 'science fiction', 'warfare']",halo reach,m
grand theft auto 2,3.42,"['shooter', 'racing']","['action', 'open world']",renderware,m
spider-man 2,3.41,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'science fiction']",unreal engine 2,t
gears of war 4,3.38,['shooter'],"['action', 'science fiction', 'horror']",unreal engine,m
watch dogs 2,3.36,"['shooter', 'adventure']","['action', 'science fiction', 'stealth', 'sandbox', 'open world']",disrupt,m
the legend of zelda: majora's mask,3.36,['adventure'],"['action', 'fantasy', 'horror', 'open world']",super mario 64 engine,e
ratchet & clank,3.71,"['shooter', 'platform', 'adventure']","['action', 'science fiction', 'comedy']",kinetica,e10
madden nfl 16,3.3,['sport'],['action'],ignite engine,e
madden nfl 17,3.28,['sport'],['non-fiction'],ignite engine,e
far cry 3,3.27,"['shooter', 'adventure']","['action', 'survival', 'stealth', 'sandbox', 'open world']",dunia engine,m
killer instinct,3.2,['fighting'],['action'],slayer,t
middle-earth: shadow of mordor,2.88,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'stealth', 'open world']",lithtech,m
spider-man,3.13,"['platform', 'adventure']","['action', 'science fiction']",treyarch ngl,e
resident evil 6,3.12,"['shooter', 'adventure']","['action', 'horror', 'survival']",mt framework,m
titanfall,3.11,['shooter'],"['action', 'science fiction']",source,m
saints row 2,3.07,"['shooter', 'racing', 'adventure']","['action', 'comedy', 'sandbox', 'open world']",havok,m
the sims: vacation,3.07,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
heavy rain,3.0,['adventure'],"['action', 'thriller', 'drama', 'mystery']",havok,m
borderlands 2,3.06,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'comedy', 'sandbox']",unreal engine,m
kung fu panda,3.05,"['platform', ""hack and slash/beat 'em up"", 'adventure']","['action', 'comedy']",lux engine,e10
mass effect 3,3.04,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'science fiction']",unreal engine 3,m
metal gear solid v: the phantom pain,3.04,"['shooter', 'tactical', 'adventure']","['action', 'fantasy', 'historical', 'stealth', 'open world']",fox engine,m
tom clancy's splinter cell,3.02,"['shooter', 'tactical']","['action', 'stealth']",unreal engine 2,t
killzone: shadow fall,2.1,['shooter'],"['action', 'science fiction', 'warfare']",decima,m
star wars: the old republic,2.0,['role-playing (rpg)'],"['fantasy', 'science fiction']",heroengine,t
sonic heroes,3.16,"['platform', 'adventure']",['action'],renderware,e
hitman 2: silent assassin,2.96,"['shooter', 'tactical']","['action', 'science fiction', 'stealth']",glacier,m
socom ii: u.s. navy seals,1.0,"['shooter', 'simulator', 'strategy', 'tactical']","['action', 'warfare']",kinetica,m
mass effect,2.91,"['shooter', 'role-playing (rpg)']","['action', 'science fiction']",unreal engine 3,m
sega superstars tennis,2.89,['sport'],['party'],sunshine engine,e10
call of duty: finest hour,2.89,['shooter'],"['action', 'historical', 'warfare']",renderware,t
mafia iii,2.87,"['shooter', 'racing', 'adventure']","['action', 'drama', 'open world']",fusion engine,m
the elder scrolls iii: morrowind,2.86,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'sandbox', 'open world']",gamebryo,t
myst,6.3,"['point-and-click', 'puzzle', 'strategy', 'adventure', 'indie']","['fantasy', 'mystery']",mohawk,e
killzone 3,2.81,['shooter'],"['action', 'science fiction', 'warfare']",in-house engine,m
skylanders: spyro's adventure,2.79,['platform'],['historical'],lux engine,e10
jak ii,1.6,"['shooter', 'platform', 'adventure']","['action', 'science fiction', 'comedy']",kinetica,t
the sims,2.77,['simulator'],"['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
