name,total_shipped,genres,themes,game_engines,age_ratings
sonic & sega all-stars racing,1.45,['racing'],"['comedy', 'kids']",sunshine engine,e10
the house of the dead 2 & 3 return,1.45,['shooter'],['horror'],sega chihiro,m
south park: the fractured but whole,1.43,"['role-playing (rpg)', 'strategy', 'adventure']","['action', 'comedy']",snowdrop,m
medal of honor: warfighter,1.42,['shooter'],"['action', 'warfare']",frostbite,m
rayman raving rabbids,1.42,"['platform', 'puzzle', 'adventure']","['action', 'comedy', 'party']",jade,e
injustice: gods among us,1.42,"['fighting', 'adventure']",['action'],unreal engine 3,t
twisted metal: black,1.41,"['shooter', 'racing']","['action', 'science fiction', 'horror', 'thriller', 'survival', 'comedy']",kinetica,m
street fighter v,1.39,"['fighting', 'arcade']",['action'],unreal engine,t
deus ex: human revolution,1.38,"['shooter', 'puzzle', 'role-playing (rpg)']","['action', 'science fiction', 'stealth']",crystal engine,m
the sims 2,1.38,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims 2 engine,t
crysis 2,1.37,"['shooter', 'adventure']","['action', 'science fiction', 'stealth']",cryengine,m
wolfenstein ii: the new colossus,1.36,"['shooter', 'adventure']","['action', 'fantasy', 'science fiction', 'historical']",id tech 6,m
marvel vs. capcom 3: fate of two worlds,1.36,['fighting'],['action'],mt framework,t
super street fighter iv,1.15,['fighting'],['action'],taito type x,t
f1 2010,1.34,"['racing', 'simulator', 'sport']",['non-fiction'],ego engine,e
doom 3,1.34,['shooter'],"['action', 'horror', 'survival']",id tech 4,m
max payne 2: the fall of max payne,1.34,['shooter'],"['action', 'thriller']",max-fx,m
metroid prime 2: echoes,1.1,"['shooter', 'platform', 'puzzle', 'adventure']","['action', 'science fiction']",rude,t
fallout 76,1.32,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'survival', 'open world']",creation engine,m
ea sports ufc 2,1.31,"['fighting', 'sport']",['action'],ignite engine,t
manhunt,1.28,"['shooter', 'tactical']","['action', 'horror', 'thriller', 'stealth']",renderware,m
the sims 2: nightlife,1.27,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims 2 engine,t
rockstar games presents table tennis,1.26,"['simulator', 'sport']","['non-fiction', 'kids']",rage,e
hyrule warriors,1.0,"['strategy', ""hack and slash/beat 'em up"", 'adventure']",['action'],amityville,t
tomb raider: underworld,1.26,"['shooter', 'platform', 'adventure']","['action', 'historical']",crystal engine,t
oddworld: abe's oddysee,1.24,"['platform', 'puzzle', 'adventure']","['action', 'science fiction', 'comedy']",a.l.i.v.e.,t
super street fighter iv: 3d edition,1.3,['fighting'],['action'],mt framework,t
medal of honor: airborne,1.21,['shooter'],"['action', 'historical', 'warfare']",unreal engine,t
sly cooper and the thievius raccoonus,1.21,"['platform', 'adventure']","['action', 'stealth', 'comedy']",kinetica,e
the lord of the rings: the fellowship of the ring,1.2,['adventure'],"['action', 'fantasy']",riot engine,t
f1 2011,1.2,"['racing', 'simulator', 'sport']",['non-fiction'],ego engine,e
metal gear solid v: ground zeroes,1.2,"['shooter', 'role-playing (rpg)', 'strategy', 'adventure']","['action', 'science fiction', 'stealth', 'open world']",fox engine,m
minecraft: story mode,1.2,['adventure'],"['action', 'fantasy', 'comedy']",telltale tool,e10
shadow of the colossus,1.2,"['platform', 'puzzle', 'adventure']","['action', 'fantasy', 'drama', 'open world']",bluepoint engine,t
scarface: the world is yours,1.19,"['shooter', 'adventure']","['action', 'sandbox']",titanium,m
resident evil: operation raccoon city,1.18,"['shooter', 'adventure']","['action', 'horror', 'survival']",hexane engine,m
red dead redemption: undead nightmare,1.18,"['shooter', 'adventure']","['action', 'horror', 'sandbox', 'open world']",rage,m
mirror's edge,1.16,"['shooter', 'platform', 'adventure']",['action'],unreal engine,t
grand theft auto: the trilogy,1.14,"['racing', 'adventure']","['action', 'open world']",renderware,m
the elder scrolls v: skyrim vr,1.13,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'stealth', 'sandbox', 'open world']",creation engine,m
dragon age ii,1.12,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",eclipse engine,m
counter-strike,1.5,['shooter'],"['action', 'warfare']",goldsrc,m
plants vs. zombies,1.11,"['puzzle', 'real time strategy (rts)', 'simulator', 'strategy', 'tactical']","['action', 'survival', 'comedy', 'kids']",popcap games framework,e10
tom clancy's splinter cell: chaos theory,1.11,"['shooter', 'tactical']","['action', 'stealth']",unreal engine 2.5,m
metal gear solid hd collection,1.11,"['strategy', 'tactical', 'adventure']","['action', 'stealth']",fox engine,m
final fantasy xii: the zodiac age,1.2,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'sandbox']",phyreengine,t
lightning returns: final fantasy xiii,1.09,['role-playing (rpg)'],"['action', 'fantasy', 'science fiction']",crystal tools,t
bully: scholarship edition,1.09,['adventure'],"['action', 'comedy', 'sandbox', 'open world']",gamebryo,t
the godfather,1.09,"['shooter', 'racing', 'adventure']","['action', 'drama', 'open world']",godfather engine,m
alien: isolation,1.09,['adventure'],"['action', 'science fiction', 'horror', 'survival', 'stealth']",cathode engine,m
dante's inferno,1.08,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'horror']",visceral engine,m
empire: total war,0.81,"['real time strategy (rts)', 'strategy', 'turn-based strategy (tbs)', 'tactical']","['fantasy', 'historical', '4x (explore, expand, exploit, and exterminate)']",tw engine 3,t
prince of persia,1.07,"['platform', 'puzzle', 'adventure']","['action', 'historical']",scimitar,t
dirt 3,1.06,"['racing', 'sport']",['non-fiction'],ego engine,t
darksiders,1.06,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'open world']",phoenix engine (relic),m
mercenaries 2: world in flames,1.06,['shooter'],"['action', 'comedy', 'sandbox', 'open world']",zero,t
the evil within 2,1.05,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'horror', 'survival']",id tech 5,m
forza motorsport,1.05,"['racing', 'simulator', 'sport']",['non-fiction'],forzatech,rp
rocksmith 2014,1.05,['music'],['educational'],gamebryo,t
sleeping dogs,1.04,"['shooter', ""hack and slash/beat 'em up"", 'adventure']","['action', 'sandbox', 'open world']",havok physics,m
dance dance revolution supernova,1.04,"['music', 'arcade']",['party'],bemani python 2,e10
brink,1.04,['shooter'],"['action', 'science fiction', 'comedy']",id tech 4,t
tom clancy's ghost recon advanced warfighter 2,1.03,"['shooter', 'simulator', 'strategy', 'tactical']","['action', 'warfare']",yeti,t
dead space 3,1.02,"['shooter', 'puzzle', 'adventure']","['action', 'science fiction', 'horror', 'survival']",visceral engine,m
bulletstorm,1.02,['shooter'],"['action', 'science fiction', 'comedy']",unreal engine,m
octopath traveler,1.9,"['role-playing (rpg)', 'adventure']",['fantasy'],unreal engine 4,t
harry potter and the prisoner of azkaban,1.02,"['platform', 'role-playing (rpg)', 'adventure']","['action', 'fantasy']",renderware,e
the elder scrolls online,1.02,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'open world']",heroengine,m
steep,1.01,"['simulator', 'sport', 'adventure']","['action', 'open world']",anvilnext,t
f1 2012,1.01,"['racing', 'simulator', 'sport', 'strategy']",['non-fiction'],ego engine,e
rayman origins,1.0,"['platform', 'adventure']","['action', 'fantasy', 'comedy', 'kids']",ubiart framework,e10
tom clancy's splinter cell: blacklist,1.0,"['shooter', 'tactical', 'adventure']","['action', 'stealth']",lead engine,m
oddworld: abe's exoddus,0.99,"['platform', 'puzzle', 'adventure']","['action', 'science fiction']",a.l.i.v.e.,t
shadow the hedgehog,0.99,"['shooter', 'platform', 'adventure']","['action', 'science fiction']",renderware,e10
playstation all-stars battle royale,0.99,"['fighting', 'platform', 'quiz/trivia']","['action', 'science fiction', 'party']",bluepoint engine,t
sniper elite v2,0.98,"['shooter', 'tactical']","['action', 'historical', 'stealth', 'warfare']",asura,m
the witcher 2: assassins of kings,0.98,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",havok physics,m
south park: the stick of truth,0.97,"['role-playing (rpg)', 'strategy', 'adventure']","['action', 'fantasy', 'comedy', 'open world']",onyx engine,m
sea of thieves,0.96,"['simulator', 'adventure']","['action', 'fantasy', 'open world']",unreal engine 4,t
lost planet 2,0.95,"['shooter', 'adventure']","['action', 'science fiction']",mt framework,t
destroy all humans!,0.94,"['shooter', 'adventure']","['action', 'science fiction', 'comedy', 'open world']",unreal engine 4,t
bully,1.5,['adventure'],"['action', 'comedy', 'sandbox', 'open world']",renderware,t
jak and daxter collection,0.93,"['shooter', 'platform', 'racing', 'strategy', 'adventure']","['action', 'fantasy', 'science fiction', 'open world']",kinetica,t
operation flashpoint: dragon rising,0.93,"['shooter', 'puzzle', 'simulator', 'strategy', 'tactical']",['action'],ego engine,m
crysis 3,0.92,"['shooter', 'adventure']","['action', 'science fiction', 'stealth']",cryengine,m
sonic riders: zero gravity,0.91,"['racing', 'sport']","['action', 'fantasy', 'comedy']",havok physics,e
marvel: ultimate alliance 2,0.9,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'science fiction']",vicarious visions alchemy,t
burnout revenge,0.9,['racing'],['action'],renderware,e10
james cameron's avatar: the game,0.9,"['shooter', 'adventure']","['action', 'science fiction']",dunia engine,t
resistance: retribution,0.9,['shooter'],"['action', 'fantasy', 'science fiction', 'historical']",logan's shadow,m
spider-man 3,0.9,['platform'],['action'],treyarch ngl,t
blitz: the league,0.89,['sport'],"['action', 'comedy']",renderware,m
resident evil: revelations,0.89,"['shooter', 'adventure']","['action', 'horror', 'survival']",mt framework,m
fortnite,0.89,"['shooter', 'role-playing (rpg)', 'strategy', 'adventure']","['action', 'survival', 'sandbox', 'open world']",unreal engine 5,t
call of juarez: bound in blood,0.88,"['shooter', 'adventure']","['action', 'fantasy', 'historical']",chrome engine,m
the lord of the rings: war in the north,0.88,"['role-playing (rpg)', 'strategy', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'open world']",dark alliance engine,m
f1 2009,0.88,"['racing', 'simulator']",['non-fiction'],ego engine,e
red faction: guerrilla,0.87,"['shooter', 'adventure']","['action', 'science fiction', 'open world']",geo-mod,m
ghostbusters: the video game,0.87,"['shooter', 'adventure']","['action', 'science fiction', 'horror', 'comedy']",infernal engine,t
tomb raider: anniversary,0.85,"['shooter', 'platform', 'simulator', 'strategy', 'adventure']",['action'],crystal engine,t
until dawn: rush of blood,0.85,['shooter'],['horror'],decima,m
burnout legends,0.85,"['racing', 'arcade']",['action'],renderware,e10
burnout 2: point of impact,0.85,['racing'],['action'],renderware,e
street fighter ex3,0.85,['fighting'],['action'],renderware,t
darksiders ii,0.85,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'open world']",phoenix engine (relic),m
zombiu,0.84,"['shooter', 'adventure']","['action', 'horror', 'survival']",lyn,m
harry potter and the order of the phoenix,0.84,['adventure'],"['action', 'fantasy']",bright light halogen,e10
duke nukem forever,0.83,"['shooter', 'adventure']","['action', 'science fiction', 'comedy']",unreal engine 2,m
sly 3: honor among thieves,0.83,"['platform', 'adventure']","['action', 'stealth', 'comedy']",kinetica,e10
sid meier's civilization revolution,0.83,"['simulator', 'strategy', 'turn-based strategy (tbs)']","['action', 'fantasy', 'historical', 'warfare']",gamebryo,e10
medievil,0.83,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'historical', 'comedy']",unreal engine 4,t
the crew 2,0.82,['racing'],"['action', 'open world']",dunia engine,t
ark: survival evolved,1.0,"['shooter', 'role-playing (rpg)', 'simulator', 'adventure', 'indie']","['action', 'survival', 'sandbox', 'open world']",unreal engine,t
shaun white snowboarding,0.81,"['sport', 'adventure']","['action', 'non-fiction']",scimitar,t
hitman: contracts,0.8,['shooter'],"['action', 'stealth']",glacier,m
the 7th guest,2.0,"['point-and-click', 'puzzle', 'adventure']","['horror', 'drama']",groovie,t
dead island: riptide,0.79,"['shooter', 'role-playing (rpg)', ""hack and slash/beat 'em up""]","['action', 'horror', 'survival', 'open world']",chrome engine,m
prototype 2,0.79,"['platform', ""hack and slash/beat 'em up"", 'adventure']","['action', 'science fiction', 'horror', 'survival', 'sandbox', 'open world']",titanium,m
dance dance revolution supernova 2,0.79,"['music', 'arcade']",['party'],bemani python 2,e10
the godfather ii,0.79,"['shooter', 'racing', 'adventure']","['action', 'drama']",godfather engine,m
destiny: the collection,0.78,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'fantasy', 'science fiction', 'warfare']",in-house engine,t
too human,0.78,"['shooter', 'role-playing (rpg)', ""hack and slash/beat 'em up""]","['action', 'fantasy', 'science fiction', 'historical']",unreal engine 3,t
aliens: colonial marines,0.78,['shooter'],"['action', 'science fiction', 'horror']",red ring,m
doom,0.78,"['shooter', 'puzzle']","['action', 'science fiction', 'horror']",id tech 6,m
tom clancy's splinter cell: double agent,0.78,"['shooter', 'tactical']","['action', 'stealth']",unreal engine 2.5,m
goldeneye 007: reloaded,0.78,['shooter'],['action'],enginext,t
hitman,0.78,"['shooter', 'tactical', 'adventure']","['action', 'stealth', 'open world']",glacier 2,m
perfect dark zero,1.0,['shooter'],"['action', 'science fiction', 'stealth']",havok,m
marvel nemesis: rise of the imperfects,0.77,['fighting'],"['action', 'science fiction']",havok,t
sonic & sega all-stars racing with banjo-kazooie,0.77,['racing'],"['action', 'comedy', 'kids']",sunshine engine,e10
harry potter and the half-blood prince,0.76,['adventure'],"['action', 'fantasy']",bright light halogen,e10
kane & lynch: dead men,0.76,['shooter'],['action'],glacier,m
quantum break,0.76,"['shooter', 'adventure']","['action', 'science fiction']",northlight engine,m
raving rabbids: travel in time,0.75,"['platform', 'puzzle']","['action', 'fantasy', 'historical', 'comedy', 'party']",lyn,e10
borderlands: the pre-sequel,0.75,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'comedy']",unreal engine,m
capcom vs. snk 2: mark of the millennium 2001,0.75,"['fighting', 'arcade']",['action'],sega naomi,t
the lord of the rings: conquest,0.75,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy']",zero,t
turok,0.75,"['shooter', 'platform', 'adventure']","['action', 'fantasy']",kex,m
resonance of fate,0.74,['role-playing (rpg)'],"['action', 'science fiction']",aska,t
sonic forces,0.74,"['platform', 'strategy', 'adventure']","['action', 'fantasy', 'science fiction']",hedgehog engine 2,e10
pirates of the caribbean: at world's end,0.73,['adventure'],['action'],enginext,t
ultimate spider-man,0.72,"[""hack and slash/beat 'em up""]",['action'],treyarch ngl,t
xcom: enemy unknown,0.72,"['role-playing (rpg)', 'simulator', 'strategy', 'turn-based strategy (tbs)', 'tactical']","['action', 'science fiction', 'warfare']",unreal engine,m
blur,0.72,"['racing', 'sport', 'arcade']","['action', 'science fiction']",horizon engine,e10
deus ex: mankind divided,0.72,"['shooter', 'puzzle', 'role-playing (rpg)', 'adventure']","['action', 'science fiction', 'stealth']",dawn engine,m
virtua fighter 4: evolution,0.71,['fighting'],['action'],sega naomi,t
soulcalibur vi,1.44,['fighting'],['action'],unreal engine 4,t
crysis,3.0,"['shooter', 'adventure']","['action', 'science fiction', 'stealth']",cryengine,m
catherine,0.71,"['platform', 'puzzle', 'adventure']","['action', 'horror', 'comedy', 'drama', 'romance']",gamebryo,m
doom 3: resurrection of evil,0.71,['shooter'],"['action', 'science fiction', 'horror']",id tech 4,m
kill.switch,0.7,['shooter'],"['action', 'science fiction']",renderware,t
jade empire,0.7,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",odyssey,m
james bond 007: blood stone,0.7,['shooter'],['action'],horizon,t
transformers: revenge of the fallen,0.7,"['shooter', 'adventure']","['action', 'science fiction']",goliath engine,t
mafia,0.7,"['fighting', 'shooter', 'racing', 'adventure']","['action', 'open world']",ls3d,m
total war: rome ii,1.13,"['real time strategy (rts)', 'role-playing (rpg)', 'strategy', 'turn-based strategy (tbs)']",['historical'],tw engine 3,t
the sly collection,0.69,"['platform', 'adventure']","['action', 'stealth', 'comedy']",kinetica,e10
prince of persia: the forgotten sands,0.69,"['platform', 'adventure']","['action', 'fantasy', 'historical']",jade,t
yakuza 6: the song of life,0.8,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'drama', 'open world']",dragon engine,m
baldur's gate: dark alliance ii,0.68,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'historical']",snowblind engine,t
f1 2015,0.68,"['racing', 'simulator', 'sport']",['non-fiction'],ego engine,e
test drive unlimited 2,0.68,['racing'],['open world'],twilight,t
the last remnant,0.58,"['role-playing (rpg)', 'strategy']","['fantasy', 'historical']",unreal engine,m
prince of persia: the two thrones,0.68,"['platform', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy']",jade,m
metro redux,0.68,"['shooter', 'role-playing (rpg)']","['action', 'horror', 'survival']",4a engine,m
need for speed: shift 2 unleashed,0.67,"['racing', 'simulator']",['action'],the madness engine,e10
lollipop chainsaw,0.67,"[""hack and slash/beat 'em up""]","['action', 'comedy']",unreal engine,m
star wars: republic commando,0.67,"['shooter', 'tactical', 'adventure']","['action', 'science fiction']",unreal engine 2,t
unreal tournament iii,0.67,['shooter'],"['action', 'science fiction']",unreal engine,m
napoleon: total war,0.67,"['real time strategy (rts)', 'strategy', 'turn-based strategy (tbs)', 'tactical']","['fantasy', 'historical']",tw engine 3,t
command & conquer: red alert 3,0.66,"['real time strategy (rts)', 'simulator', 'strategy']","['fantasy', 'science fiction', 'historical', 'comedy']",sage,t
the sims 3: high-end loft stuff,0.66,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims 3 engine,t
nhl 16,0.66,['sport'],['non-fiction'],ignite engine,e10
freedom wars,0.66,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'warfare']",havok,t
f-zero gx,0.65,['racing'],"['action', 'science fiction']",super monkey ball engine,t
champions: return to arms,0.65,"['role-playing (rpg)', ""hack and slash/beat 'em up""]","['action', 'fantasy']",dark alliance engine,t
harry potter and the goblet of fire,0.65,['adventure'],"['action', 'fantasy']",renderware,e10
spyro: a hero's tail,0.64,['platform'],['action'],enginex,e
batman: return to arkham,0.64,"['strategy', ""hack and slash/beat 'em up"", 'adventure']","['action', 'thriller', 'stealth', 'drama']",unreal engine,t
the saboteur,0.51,"['shooter', 'role-playing (rpg)', 'tactical', 'adventure']","['action', 'historical', 'sandbox', 'open world', 'warfare']",havok physics,m
the adventures of jimmy neutron boy genius: attack of the twonkies,0.5,"['platform', 'adventure']","['action', 'science fiction']",renderware,e
homefront: the revolution,0.5,"['shooter', 'adventure']","['action', 'warfare']",cryengine,m
r.u.s.e.,0.5,"['real time strategy (rts)', 'strategy', 'tactical']","['action', 'science fiction', 'historical', 'warfare', '4x (explore, expand, exploit, and exterminate)']",iriszoom,t
lost: via domus,0.5,"['puzzle', 'adventure']","['action', 'science fiction']",yeti,t
transformers: war for cybertron,0.5,"['shooter', 'adventure']","['action', 'science fiction', 'warfare']",unreal engine 3,t
hitman: blood money,0.5,['shooter'],"['action', 'stealth']",glacier,m
crash: mind over mutant,0.5,['platform'],"['action', 'comedy']",titanium,e10
alice: madness returns,0.5,"['platform', 'puzzle', ""hack and slash/beat 'em up"", 'quiz/trivia', 'adventure']","['action', 'horror']",unreal engine 3,m
wet,0.5,['shooter'],['action'],gaia,m
gauntlet,0.5,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy']",bitsquid,m
kane & lynch 2: dog days,0.49,"['shooter', 'adventure']","['action', 'open world']",glacier,m
dirt 4,0.49,"['racing', 'simulator', 'sport']",['non-fiction'],ego engine,t
alone in the dark,0.49,"['shooter', 'puzzle', 'adventure']","['action', 'horror', 'survival']",twilight,m
battleborn,0.48,"['shooter', 'real time strategy (rts)', 'role-playing (rpg)', 'strategy', ""hack and slash/beat 'em up""]","['action', 'fantasy', 'science fiction', 'comedy']",unreal engine,t
dark sector,0.48,['shooter'],"['action', 'science fiction', 'horror']",evolution,m
a way out,0.48,['adventure'],['action'],unreal engine,m
crash of the titans,0.48,"['platform', 'adventure']","['action', 'comedy']",titanium,e10
friday the 13th: the game,0.48,['indie'],"['action', 'horror', 'survival']",unreal engine,m
batman: arkham origins blackgate,0.48,"['shooter', ""hack and slash/beat 'em up"", 'adventure']","['action', 'stealth']",bluepoint engine,t
sonic lost world,0.48,"['platform', 'adventure']",['action'],hedgehog engine,e10
wolfenstein: the old blood,0.48,"['shooter', 'adventure']","['action', 'fantasy', 'science fiction', 'horror', 'historical']",id tech 5,m
f.e.a.r. 2: project origin,0.47,['shooter'],"['action', 'horror']",lithtech,m
silent hill: downpour,0.47,['adventure'],"['horror', 'survival']",unreal engine 3,m
doom 64,0.47,['shooter'],"['action', 'science fiction', 'horror']",kex,m
payday 2,0.47,"['shooter', 'role-playing (rpg)', 'tactical']","['action', 'stealth']",diesel,m
deadpool,0.47,"['shooter', ""hack and slash/beat 'em up"", 'adventure']","['action', 'comedy']",unreal engine,m
"warhammer 40,000: dawn of war ii",0.47,"['real time strategy (rts)', 'strategy']",['science fiction'],essence engine,m
spider-man: friend or foe,0.47,"['platform', ""hack and slash/beat 'em up"", 'adventure']",['action'],vicarious visions alchemy,e10
fifa soccer 13,0.46,"['simulator', 'sport']",['non-fiction'],impact engine,e
tomb raider: legend,0.46,"['shooter', 'platform', 'simulator', 'strategy', 'adventure']",['action'],crystal engine,t
red faction: armageddon,0.46,"['shooter', 'adventure']","['action', 'science fiction', 'horror', 'open world']",geo-mod,m
state of decay 2,0.46,"['role-playing (rpg)', 'simulator']","['action', 'horror', 'survival', 'open world']",unreal engine,m
delta force: black hawk down,0.46,"['shooter', 'tactical']","['action', 'warfare']",asura,t
dishonored: death of the outsider,0.33,"['puzzle', 'role-playing (rpg)', 'adventure']","['action', 'fantasy', 'stealth']",void engine,m
beyond good & evil,0.33,"['shooter', 'puzzle', 'adventure']","['action', 'science fiction', 'stealth']",jade,t
valkyria chronicles remastered,0.33,"['role-playing (rpg)', 'strategy', 'turn-based strategy (tbs)', 'tactical']","['action', 'fantasy', 'drama', 'warfare']",canvas engine,t
deus ex: invisible war,0.33,"['shooter', 'role-playing (rpg)']","['action', 'science fiction']",unreal engine 2,m
kelly slater's pro surfer,0.33,['sport'],['action'],trerarch ngl,e
naruto: rise of a ninja,0.33,"['fighting', 'role-playing (rpg)', 'adventure']",['action'],jade,t
murdered: soul suspect,0.33,"['puzzle', 'role-playing (rpg)', 'adventure']","['action', 'horror', 'thriller']",unreal engine 3,m
the witcher: enhanced edition,0.33,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",aurora engine,m
swat: global strike team,0.32,"['shooter', 'tactical']",['action'],brender,m
drakengard 3,0.32,"['role-playing (rpg)', 'strategy', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy']",unreal engine 3,m
kinetica,0.32,['racing'],"['action', 'science fiction']",kinetica,t
operation flashpoint: red river,0.32,"['shooter', 'simulator', 'strategy']","['action', 'warfare']",ego engine,m
f1 race stars,0.32,"['racing', 'sport', 'arcade']",['action'],ego engine,e
darkwatch,0.32,['shooter'],"['action', 'horror']",renderware,m
prey,0.32,"['shooter', 'puzzle', 'adventure']","['action', 'science fiction', 'horror', 'survival']",cryengine,m
the darkness ii,0.32,['shooter'],"['action', 'horror', 'survival']",evolution engine,m
singularity,0.32,"['shooter', 'puzzle']","['action', 'fantasy', 'science fiction', 'horror', 'historical']",unreal engine,m
clive barker's jericho,0.32,['shooter'],"['action', 'fantasy', 'science fiction', 'horror', 'survival']",mercury steam engine,m
ultimate marvel vs. capcom 3,0.31,['fighting'],['action'],mt framework,t
sonic boom: rise of lyric,0.31,"['platform', 'adventure']",['action'],cryengine,e10
dark void,0.31,"['shooter', 'simulator', 'adventure']","['action', 'fantasy', 'science fiction', 'historical']",unreal engine,t
tron: evolution,0.31,"['platform', 'puzzle', 'adventure']","['action', 'science fiction']",aurora engine,t
the settlers 7: paths to a kingdom,0.31,"['real time strategy (rts)', 'simulator', 'strategy']",['historical'],vision,e10
f1 2013,0.3,"['racing', 'simulator', 'sport', 'strategy']",['non-fiction'],ego engine,e
resident evil: revelations 2,0.3,"['shooter', 'adventure']","['action', 'horror', 'survival']",mt framework,m
cities: skylines,0.3,"['simulator', 'strategy']","['business', 'sandbox']",unity,e
my hero one's justice,0.3,['fighting'],"['action', 'fantasy']",unreal engine 4,t
sorcery,0.3,"['puzzle', 'role-playing (rpg)', 'adventure']","['action', 'science fiction']",unreal engine,e10
quake ii,0.3,['shooter'],"['action', 'science fiction', 'horror']",id tech 2,m
rayman 2: revolution,0.3,"['platform', 'adventure']","['action', 'fantasy']",openspace,e
sniper elite 4,0.3,"['shooter', 'tactical', 'adventure']","['action', 'historical', 'stealth', 'open world', 'warfare']",asura,m
the walking dead: season two,0.3,"['point-and-click', 'puzzle', 'adventure']","['action', 'horror', 'survival', 'drama']",telltale tool,m
naruto to boruto: shinobi striker,2.13,['fighting'],"['action', 'fantasy']",unreal engine,t
mini ninjas,0.29,"['platform', 'adventure']","['action', 'stealth', 'open world']",glacier,e10
yooka-laylee,0.29,"['platform', 'adventure', 'indie']","['action', 'fantasy', 'open world']",unity,e10
call of juarez: the cartel,0.29,"['shooter', 'adventure']",['action'],chrome engine,m
x-men legends ii: rise of apocalypse,0.29,"['role-playing (rpg)', ""hack and slash/beat 'em up""]","['action', 'fantasy', 'science fiction', 'historical']",vicarious visions alchemy,t
prince of persia: rival swords,0.29,"['platform', 'puzzle', 'adventure']","['action', 'fantasy', 'historical']",jade engine,t
the chronicles of riddick: assault on dark athena,0.29,['shooter'],"['action', 'science fiction', 'stealth']",starbreeze engine,m
army of two: the devil's cartel,0.29,['shooter'],['action'],frostbite,m
007 legends,0.29,['shooter'],['action'],iw engine,t
just cause 4,0.29,"['shooter', 'adventure']","['action', 'sandbox', 'open world']",apex,m
sherlock holmes: crimes & punishments,0.29,"['puzzle', 'adventure']","['action', 'mystery']",unreal engine,m
world of tanks,0.28,"['shooter', 'simulator', 'strategy', 'arcade']","['action', 'non-fiction', 'warfare']",bigworld,t
bionic commando,0.38,"['shooter', 'platform', 'adventure']","['action', 'science fiction']",diesel,m
onechanbara z2: chaos,0.28,"[""hack and slash/beat 'em up""]","['action', 'horror']",phyreengine,m
myst iii: exile,0.28,"['point-and-click', 'puzzle', 'adventure']","['fantasy', 'drama', 'mystery']",sprint,e
grid 2,0.27,"['racing', 'simulator', 'sport', 'arcade']",['non-fiction'],ego engine,e
bravo team,0.27,['shooter'],['action'],unreal engine 4,t
shadows of the damned,0.27,"['shooter', 'puzzle']","['horror', 'comedy']",unreal engine 3,m
bloodrayne 2,0.27,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'horror']",infernal engine,m
killing floor 2,0.27,['shooter'],"['action', 'science fiction', 'horror', 'survival']",unreal engine 3,m
robinson: the journey,0.27,['adventure'],"['action', 'science fiction']",cryengine,e
the bureau: xcom declassified,0.27,"['shooter', 'strategy', 'tactical']","['action', 'fantasy', 'science fiction', 'historical']",unreal engine,m
section 8,0.27,['shooter'],['science fiction'],unreal engine 3,t
total war: attila,0.26,"['real time strategy (rts)', 'strategy', 'turn-based strategy (tbs)']","['fantasy', 'historical', 'warfare']",tw engine 3,t
the house of the dead 2,0.26,['shooter'],"['action', 'science fiction', 'horror']",sega naomi,m
asura's wrath,0.26,"[""hack and slash/beat 'em up""]",['action'],unreal engine,t
sword art online: hollow realization,0.26,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",phyreengine,t
spider-man: web of shadows,0.26,"['fighting', 'platform', ""hack and slash/beat 'em up"", 'adventure']",['action'],treyarch ngl,t
